ENSMUSG00000001506	ENSMUST00000001547
ENSMUSG00000001507	ENSMUST00000001548
ENSMUSG00000001518	ENSMUST00000142615
ENSMUSG00000001518	ENSMUST00000204467
ENSMUSG00000001524	ENSMUST00000162894
ENSMUSG00000001524	ENSMUST00000162927
ENSMUSG00000001525	ENSMUST00000001566
ENSMUSG00000001525	ENSMUST00000134978
ENSMUSG00000001525	ENSMUST00000156050
ENSMUSG00000001542	ENSMUST00000001583
ENSMUSG00000001552	ENSMUST00000001592
ENSMUSG00000001552	ENSMUST00000124659
ENSMUSG00000001569	ENSMUST00000001611
ENSMUSG00000001576	ENSMUST00000165802
ENSMUSG00000001576	ENSMUST00000167662
ENSMUSG00000001588	ENSMUST00000001631
ENSMUSG00000001627	ENSMUST00000001672
ENSMUSG00000001630	ENSMUST00000001675
ENSMUSG00000001632	ENSMUST00000113119
ENSMUSG00000001632	ENSMUST00000113122
ENSMUSG00000001642	ENSMUST00000136559
ENSMUSG00000001642	ENSMUST00000201392
ENSMUSG00000001663	ENSMUST00000001713
ENSMUSG00000001665	ENSMUST00000001715
ENSMUSG00000001665	ENSMUST00000218091
ENSMUSG00000001666	ENSMUST00000172820
ENSMUSG00000001670	ENSMUST00000001720
ENSMUSG00000001674	ENSMUST00000001724
ENSMUSG00000001687	ENSMUST00000079324
ENSMUSG00000001687	ENSMUST00000201597
ENSMUSG00000001700	ENSMUST00000070166
ENSMUSG00000001707	ENSMUST00000001757
ENSMUSG00000001729	ENSMUST00000001780
ENSMUSG00000001741	ENSMUST00000001792
ENSMUSG00000001750	ENSMUST00000126070
ENSMUSG00000001750	ENSMUST00000126643
ENSMUSG00000001750	ENSMUST00000131327
ENSMUSG00000001750	ENSMUST00000134698
ENSMUSG00000001751	ENSMUST00000001802
ENSMUSG00000001755	ENSMUST00000107308
ENSMUSG00000001761	ENSMUST00000001812
ENSMUSG00000001761	ENSMUST00000201515
ENSMUSG00000001763	ENSMUST00000046750
ENSMUSG00000001767	ENSMUST00000001818
ENSMUSG00000001768	ENSMUST00000147976
ENSMUSG00000001774	ENSMUST00000001825
ENSMUSG00000001774	ENSMUST00000213605
ENSMUSG00000001774	ENSMUST00000216526
ENSMUSG00000001774	ENSMUST00000216666
ENSMUSG00000001783	ENSMUST00000001834
ENSMUSG00000001785	ENSMUST00000001836
ENSMUSG00000001786	ENSMUST00000130320
ENSMUSG00000001794	ENSMUST00000001845
ENSMUSG00000001794	ENSMUST00000146852
ENSMUSG00000001794	ENSMUST00000207082
ENSMUSG00000001802	ENSMUST00000122409
ENSMUSG00000001829	ENSMUST00000001884
ENSMUSG00000001833	ENSMUST00000214360
ENSMUSG00000001833	ENSMUST00000215721
ENSMUSG00000001833	ENSMUST00000217598
ENSMUSG00000001844	ENSMUST00000001900
ENSMUSG00000001847	ENSMUST00000080537
ENSMUSG00000001855	ENSMUST00000065398
ENSMUSG00000001870	ENSMUST00000001927
ENSMUSG00000001870	ENSMUST00000112516
ENSMUSG00000001891	ENSMUST00000102875
ENSMUSG00000001909	ENSMUST00000001974
ENSMUSG00000001909	ENSMUST00000127915
ENSMUSG00000001909	ENSMUST00000137953
ENSMUSG00000001909	ENSMUST00000177364
ENSMUSG00000001910	ENSMUST00000001975
